vod_watch_history,2023-02-25 15:53:00,227846,12,23392073,554
vod_watch_history,2023-02-25 15:39:31,227852,12,23392073,174
vod_watch_history,2023-02-25 16:15:07,140928,21,23392073,32
vod_watch_history,2023-02-25 15:42:53,226778,12,23392073,177
vod_watch_history,2023-02-25 15:43:03,226782,12,23392073,6
vod_watch_history,2023-02-25 15:53:51,227846,12,23392073,21
vod_watch_history,2023-02-25 15:54:01,227846,12,23392073,8
vod_watch_history,2023-02-25 08:51:22,186963,6,15415544,1417
vod_watch_history,2023-02-25 07:48:25,228801,6,15415544,58
vod_watch_history,2023-02-25 09:23:46,186963,6,15415544,564
vod_watch_history,2023-02-25 07:47:22,228801,6,15415544,49
vod_watch_history,2023-02-25 09:14:22,186963,6,15415544,1380
vod_watch_history,2023-02-25 08:27:45,186963,6,15415544,1390
